# 전체 on-CPU inclusive 함수 표 — 1840개 (컷오프 없음)
# denom = total_samples = 147236

  %total   samples  func
   0.819      1206  tbb::detail::d2::micro_queue<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> >::prepare_page(unsigned long, tbb::detail::d2::concurrent_queue_rep<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> >&, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::micro_queue<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> >::padded_page>, tbb::detail::d2::micro_queue<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> >::padded_page*&)::{lambda()#1}::operator()
   0.813      1197  lock_internal_perform_unlock_object
   0.806      1187  pgbuf_latch_bcb_upon_fix
   0.789      1161  fileio_write
   0.780      1148  __libc_pwrite64
   0.776      1142  LZ4_read32
   0.769      1132  cubconn::connection::worker::enqueue_and_notify
   0.769      1132  logpb_append_data
   0.706      1040  __clock_gettime_2
   0.666       981  btree_read_record_without_decompression
   0.647       952  cubconn::connection::worker::notify
   0.642       945  xtran_server_start_topop
   0.640       943  log_sysop_end_logical_undo
   0.630       928  __libc_read
   0.628       925  css_return_queued_request
   0.621       915  heap_get_class_repr_id
   0.617       908  log_append_undoredo_data2
   0.609       897  log_sysop_start
   0.598       881  spage_get_total_saved_spaces
   0.595       876  log_sysop_attach_to_outer
   0.591       870  prior_lsa_copy_undo_data_to_node
   0.585       862  spage_get_record
   0.585       861  __pthread_cond_signal
   0.576       848  cubthread::worker_pool::core::execute_task
   0.575       847  spage_get_saved_spaces
   0.557       820  lf_freelist_retire
   0.547       805  heap_attrinfo_read_dbvalues
   0.546       804  cubconn::receiver::release
   0.545       803  logpb_write_toflush_pages_to_archive
   0.537       791  spage_find_empty_slot_at
   0.537       790  tbb::detail::d2::internal_try_pop_impl<tbb::detail::d2::concurrent_queue_rep<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> >, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::concurrent_queue_rep<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> > > >
   0.535       788  pgbuf_search_hash_chain
   0.533       785  heap_get_class_record
   0.532       783  prior_lsa_copy_undo_crumbs_to_node
   0.522       768  log_sysop_commit
   0.520       766  cubconn::connection::coordinator::notify
   0.482       709  cubthread::worker_pool::core::worker::assign_task
   0.479       705  __GI___pthread_mutex_trylock
   0.469       691  LZ4_initStream
   0.465       685  spage_has_enough_total_space
   0.452       666  unlink_chunk.isra.2
   0.452       665  lf_hash_find
   0.450       663  prior_lsa_alloc_and_copy_data
   0.449       661  cubconn::connection::worker::eventfd_clear
   0.449       661  std::condition_variable::notify_one
   0.446       656  css_receive_data
   0.442       651  xlogwr_get_log_pages
   0.442       651  slogwr_get_log_pages
   0.437       643  std::chrono::_V2::system_clock::now
   0.435       640  heap_get_class_info
   0.419       617  operator new
   0.414       609  heap_hfid_cache_get
   0.405       596  cubbase::DMRBMemoryPool::restore
   0.404       595  prior_lsa_copy_redo_crumbs_to_node
   0.403       594  lf_freelist_transport
   0.398       586  thread_suspend_timeout_wakeup_and_unlock_entry
   0.397       584  pgbuf_block_bcb
   0.395       582  prior_lsa_copy_redo_data_to_node
   0.395       581  spage_update
   0.393       579  spage_find_slot
   0.391       576  log_tdes::unlock_topop
   0.384       566  cubpl::get_session
   0.382       563  btree_compare_key
   0.374       551  log_append_redo_data2
   0.374       550  heap_get_last_version
   0.362       533  heap_scancache_quick_end
   0.356       524  logpb_writev_append_pages
   0.355       522  mht_get
   0.354       521  heap_scancache_end
   0.351       517  spage_check_space
   0.348       512  rmutex_unlock
   0.340       501  heap_mvcc_log_insert
   0.336       494  cubconn::connection::coordinator::enqueue
   0.335       493  lock_dealloc_entry
   0.307       452  thread_get_thread_entry_info
   0.302       444  heap_scancache_start_modify
   0.302       444  spage_max_space_for_new_record
   0.297       437  logpb_set_dirty
   0.295       434  pgbuf_set_dirty_buffer_ptr
   0.294       433  tsc_getticks
   0.292       430  pgbuf_wakeup_reader_writer
   0.291       428  __GI___libc_free
   0.291       428  pgbuf_set_dirty
   0.290       427  css_receive_data_from_client_with_timeout
   0.290       427  vacuum_heap_page_log_and_reset
   0.289       426  spage_update_record_in_place
   0.283       417  heap_attrvalue_read
   0.281       414  pgbuf_find_thrd_holder
   0.281       414  btree_fix_root_for_delete
   0.278       409  logpb_copy_page
   0.277       408  cuberr::context::pop_error_stack_and_destroy
   0.276       407  logtb_tran_update_btid_unique_stats
   0.274       404  fdatasync
   0.274       404  fileio_synchronize
   0.272       400  btree_key_insert_new_object
   0.271       399  LOG_FIND_CURRENT_TDES
   0.270       397  operator delete
   0.269       396  logtb_get_current_mvccid
   0.266       392  css_return_queued_data_timeout
   0.264       388  lf_list_find
   0.257       378  heap_stats_update
   0.250       368  cubthread::get_entry
   0.249       366  lf_stack_pop
   0.248       365  mr_index_readval_int
   0.247       363  cubconn::connection::coordinator::handle_message_queue
   0.244       359  logtb_tran_find_btid_stats
   0.240       354  session_get_pl_session
   0.231       340  prior_lsa_start_append
   0.230       339  spage_insert
   0.229       337  logpb_start_append
   0.229       337  LSA_EQ
   0.228       335  pgbuf_unlatch_thrd_holder
   0.224       330  std::_Rb_tree<unsigned long, std::pair<unsigned long const, unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned long> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> > >::_M_emplace_unique<unsigned long&, unsigned long&>
   0.222       327  logpb_end_append
   0.221       326  tbb::detail::d2::micro_queue<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> >::prepare_page(unsigned long, tbb::detail::d2::concurrent_queue_rep<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> >&, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::micro_queue<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> >::padded_page>, tbb::detail::d2::micro_queue<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> >::padded_page*&)::{lambda()#1}::operator()
   0.221       325  log_tdes::lock_topop
   0.219       322  logpb_get_log_buffer
   0.218       321  vacuum_get_log_blockid
   0.214       315  lock_event_set_xasl_id_to_entry
   0.213       314  file_get_type
   0.213       314  LZ4_writeLE16
   0.213       313  heap_attrinfo_recache_attrepr
   0.212       312  __tls_get_addr
   0.210       309  cubconn::connection::worker::handle_header_packet
   0.209       307  cubconn::connection::coordinator::eventfd_clear
   0.207       305  __gthread_mutex_unlock
   0.204       300  tbb::detail::d2::internal_try_pop_impl<tbb::detail::d2::concurrent_queue_rep<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> >, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::concurrent_queue_rep<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> > > >
   0.204       300  logtb_find_client_type
   0.204       300  btree_fix_root_with_info
   0.202       298  cub_strdup
   0.202       297  lock_get_class_lock
   0.200       295  lock_find_class_entry
   0.200       295  pgbuf_set_lsa
   0.200       294  ATOMIC_INC_32<int, int>
   0.196       288  spage_find_empty_slot
   0.192       282  pgbuf_find_current_wait_msecs
   0.189       278  css_wakeup_handler
   0.187       275  pgbuf_unlatch_void_zone_bcb
   0.183       269  logpb_copy_page_from_log_buffer
   0.181       266  btree_rv_save_keyval_for_undo
   0.180       265  mvcc_is_mvcc_disabled_class
   0.179       264  cuberr::context::push_error_stack
   0.179       263  log_sysop_start_atomic
   0.176       259  mht_get2
   0.173       255  or_get_domain
   0.166       244  logpb_flush_all_append_pages
   0.165       243  vacuum_log_vacuum_heap_page
   0.164       242  logtb_is_interrupted
   0.163       240  cubpl::session::is_thread_involved
   0.162       239  lf_tran_start
   0.160       236  heap_attrvalue_point_fixed
   0.155       228  cubpl::session::is_sp_running
   0.155       228  logpb_next_append_page
   0.154       227  pgbuf_lockfree_fix_ro
   0.153       225  log_sysop_end_final
   0.152       224  or_unpack_mem_value
   0.151       223  mht_put_internal
   0.149       219  prior_lsa_append_data
   0.147       217  crypt_crc32
   0.147       217  btree_get_node_header
   0.147       216  heap_attrvalue_get_key
   0.144       212  btree_glean_root_header_info
   0.144       212  cuberr::context::get_thread_local_context
   0.143       210  logpb_locate_page
   0.142       209  vacuum_master_task::execute
   0.141       207  prior_lsa_gen_record
   0.139       205  cuberr::context::pop_error_stack
   0.139       205  css_traverse_list
   0.137       201  heap_get_mvcc_header
   0.134       198  set_waiter_exists
   0.133       196  cubconn::connection::worker::get_time_ns
   0.129       190  css_add_queue_entry
   0.129       190  log_prior_lsa_append_advance_when_doesnot_fit
   0.127       187  pgbuf_allocate_bcb
   0.125       184  heap_prepare_get_context
   0.123       181  pgbuf_lru_add_new_bcb_to_top
   0.122       180  pgbuf_remove_thrd_holder
   0.122       180  lock_initialize_entry_as_granted
   0.120       176  or_rep_id
   0.118       174  cubconn::transmitter::clear
   0.116       171  logtb_find_tranid
   0.115       170  xlogtb_reset_wait_msecs
   0.110       162  log_tdes::is_system_worker_transaction
   0.108       159  LOG_APPEND_PTR
   0.107       158  sqmgr_execute_query
   0.107       157  pgbuf_is_lsa_temporary
   0.106       156  or_header_size
   0.105       154  log_diff
   0.105       154  xdisk_get_purpose
   0.104       153  perfmon_is_perf_tracking
   0.104       153  malloc@plt
   0.104       153  pgbuf_bcb_register_hit_for_lru
   0.103       152  logwr_pack_log_pages
   0.103       151  pgbuf_get_bcb_from_invalid_list
   0.103       151  heap_page_get_vacuum_status
   0.101       149  cubconn::connection::worker::handle_command_header_packet
   0.101       148  heap_scancache_quick_start_root_hfid
   0.100       147  pthread_mutex_lock@plt
   0.098       145  pgbuf_lru_adjust_zones
   0.098       144  hl_lea_alloc
   0.097       143  LZ4_NbCommonBytes
   0.096       142  perfmon_add_stat
   0.095       140  cuberr::er_message::er_message
   0.095       140  logpb_fetch_page
   0.094       139  lock_delete_from_tran_hold_list
   0.092       136  __pthread_cond_wait
   0.092       136  xqmgr_execute_query
   0.092       135  __vdso_clock_gettime
   0.092       135  heap_clean_get_context
   0.092       135  log_get_parent_lsa_system_op
   0.091       134  clock_gettime@plt
   0.091       134  __GI___qsort_r
   0.090       133  msort_with_tmp.part.0
   0.090       132  or_mvcc_get_header
   0.088       130  cubthread::wp_worker_statset_time_and_increment
   0.088       130  lock_insert_into_tran_hold_list
   0.088       129  hl_clear_lea_heap
   0.088       129  cubconn::receiver::parse_size
   0.086       126  perfmon_inc_stat
   0.086       126  er_stack_push
   0.086       126  locator_unpack_copy_area_descriptor
   0.084       124  pgbuf_bcb_register_fix
   0.084       124  spage_is_unknown_slot
   0.084       124  pgbuf_hash_func_mirror
   0.083       122  qmgr_process_query
   0.083       122  std::vector<cubbase::span<std::byte>, std::allocator<cubbase::span<std::byte> > >::_M_realloc_insert<std::byte*, int>
   0.083       122  ATOMIC_CAS_ADDR<void>
   0.082       121  pthread_mutex_unlock@plt
   0.082       121  LZ4_write16
   0.082       121  cuberr::er_message::swap
   0.082       121  css_make_queue_entry
   0.082       120  qexec_execute_query
   0.082       120  pgbuf_ordered_unfix
   0.082       120  logpb_get_memsize
   0.081       119  pr_index_writeval_disk_size
   0.079       117  db_value_domain_init
   0.079       117  btree_read_fixed_portion_of_non_leaf_record_from_orbuf
   0.077       113  pgbuf_replace_watcher
   0.077       113  pgbuf_search_hash_chain_no_bcb_lock
   0.075       110  ATOMIC_CAS_32<int, int, int>
   0.074       109  cubconn::connection::worker::statistics_metrics_to_coordinator
   0.074       109  dwb_flush_block_daemon_task::execute
   0.074       109  unpack_domain
   0.074       109  er_clear
   0.074       109  spage_add_new_slot
   0.073       107  css_push_server_task
   0.073       107  cuberr::er_message::~er_message
   0.071       105  __GI___pthread_mutex_unlock
   0.071       105  _M_invoke
   0.071       104  mspace_malloc
   0.070       103  __pthread_disable_asynccancel
   0.069       102  LZ4_isLittleEndian
   0.069       102  or_get_int
   0.069       101  __pthread_enable_asynccancel
   0.069       101  heap_attrinfo_clear_dbvalues
   0.068       100  qexec_execute_mainblock
   0.068       100  __strlen_evex
   0.068       100  spage_get_record@plt
   0.067        99  btree_insert_helper::btree_insert_helper
   0.067        99  locator_allocate_copy_area_by_length
   0.067        99  log_prior_lsa_append_align
   0.066        97  cubthread::daemon::register_stat_pause
   0.066        97  logpb_write_page_to_disk
   0.066        97  free@plt
   0.065        96  qexec_execute_update
   0.065        95  pgbuf_bcb_change_zone
   0.065        95  btree_clear_key_value
   0.064        94  cubconn::receiver::parse_packet
   0.062        92  operator()
   0.062        92  btree_node_number_of_keys
   0.062        91  heap_attrinfo_access
   0.062        91  pgbuf_allocate_thrd_holder_entry
   0.061        90  or_init
   0.060        89  cubthread::get_entry@plt
   0.060        89  __lll_lock_wait_private
   0.060        89  log_sysop_get_tran_index_and_tdes
   0.060        88  rmutex_lock@plt
   0.059        87  LSA_COPY
   0.058        86  css_find_queue_entry_by_key
   0.058        86  logtb_get_current_tran_index
   0.058        85  pr_type_from_id
   0.058        85  heap_page_update_chain_after_mvcc_op
   0.058        85  btree_write_record
   0.058        85  lf_callback_vpid_hash
   0.057        84  __condvar_cancel_waiting
   0.057        84  mht_rem
   0.056        83  pgbuf_notify_vacuum_follows
   0.056        83  log_append_undoredo_crumbs@plt
   0.056        83  logpb_set_page_checksum
   0.056        83  pgbuf_ordered_set_dirty_and_free
   0.056        83  tp_domain_disk_size
   0.056        82  cubthread::is_single_thread@plt
   0.056        82  css_is_request_aborted
   0.055        81  heap_attrvalue_transform_to_dbvalue
   0.055        81  heap_scancache_reset_modify
   0.054        80  pr_clear_value
   0.054        80  cubthread::is_single_thread
   0.054        80  or_header_size@plt
   0.054        79  std::chrono::_V2::system_clock::now@plt
   0.054        79  cubthread::worker_pool::execute_on_core
   0.054        79  memcpy@plt
   0.053        78  heap_get_record_data_when_all_ready
   0.052        77  er_errid
   0.052        77  session_get_session_state
   0.052        76  slocator_fetch
   0.052        76  pgbuf_unfix@plt
   0.052        76  std::vector<cubbase::span<std::byte>, std::allocator<cubbase::span<std::byte> > >::_M_realloc_insert<std::byte*&, unsigned long>
