# 전체 on-CPU inclusive 함수 표 — 1615개 (컷오프 없음)
# denom = total_samples = 126337

  %total   samples  func
   0.594       751  tbb::detail::d2::micro_queue<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> >::prepare_page(unsigned long, tbb::detail::d2::concurrent_queue_rep<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> >&, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::micro_queue<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> >::padded_page>, tbb::detail::d2::micro_queue<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> >::padded_page*&)::{lambda()#1}::operator()
   0.584       738  tbb::detail::d2::internal_try_pop_impl<tbb::detail::d2::concurrent_queue_rep<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> >, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::concurrent_queue_rep<cubconn::connection::worker::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::worker::message> > > >
   0.580       733  cubconn::connection::coordinator::notify
   0.580       733  spage_get_record
   0.578       730  xtran_server_start_topop
   0.572       723  css_return_queued_request
   0.561       709  lf_hash_find
   0.540       682  lf_freelist_transport
   0.528       667  heap_get_class_info
   0.512       647  cubconn::receiver::release
   0.512       647  __GI___pthread_mutex_trylock
   0.511       646  heap_hfid_cache_get
   0.499       630  logpb_append_next_record
   0.496       627  cubthread::worker_pool::core::worker::assign_task
   0.484       612  pgbuf_search_hash_chain
   0.475       600  __GI___qsort_r
   0.473       598  heap_scancache_quick_end
   0.472       596  lock_dealloc_entry
   0.467       590  log_sysop_start
   0.464       586  btree_compare_key
   0.451       570  __pthread_cond_signal
   0.450       568  vacuum_process_log_block
   0.445       562  std::condition_variable::notify_one
   0.432       546  unlink_chunk.isra.2
   0.431       545  heap_scan_cache_allocate_area
   0.430       543  std::chrono::_V2::system_clock::now
   0.413       522  css_receive_data
   0.407       514  fileio_write
   0.403       509  __libc_pwrite64
   0.389       492  spage_find_slot
   0.378       477  cubconn::connection::worker::eventfd_clear
   0.378       477  log_tdes::unlock_topop
   0.375       474  cubpl::get_session
   0.373       471  cubbase::DMRBMemoryPool::restore
   0.368       465  heap_attrvalue_read
   0.368       465  heap_stats_update
   0.366       463  xlogwr_get_log_pages
   0.366       463  slogwr_get_log_pages
   0.360       455  heap_stats_add_bestspace
   0.359       454  heap_scancache_end
   0.357       451  operator delete
   0.351       443  css_receive_data_from_client_with_timeout
   0.351       443  logpb_append_data
   0.349       441  lf_stack_pop
   0.345       436  rmutex_unlock
   0.340       430  heap_scancache_start_modify
   0.336       424  cuberr::context::pop_error_stack_and_destroy
   0.316       399  pgbuf_latch_bcb_upon_fix
   0.315       398  heap_attrvalue_get_key
   0.312       394  lf_list_find
   0.309       391  css_return_queued_data_timeout
   0.303       383  thread_get_thread_entry_info
   0.301       380  btree_get_pkey_btid
   0.298       376  heap_get_class_record
   0.294       372  __GI___libc_free
   0.291       368  heap_scancache::reserve_area
   0.290       367  cubconn::connection::coordinator::enqueue
   0.287       362  cubconn::connection::coordinator::handle_message_queue
   0.285       360  tsc_getticks
   0.283       358  lock_get_class_lock
   0.279       352  __lll_lock_wait
   0.277       350  prior_lsa_copy_undo_data_to_node
   0.275       347  pgbuf_set_lsa
   0.274       346  prior_lsa_copy_redo_data_to_node
   0.274       346  session_get_pl_session
   0.271       343  heap_page_update_chain_after_mvcc_op
   0.269       340  heap_scancache::alloc_area
   0.264       333  lock_find_class_entry
   0.263       332  cubconn::connection::coordinator::eventfd_clear
   0.258       326  fileio_synchronize
   0.257       325  fdatasync
   0.257       325  pgbuf_lru_move_from_private_to_shared
   0.256       324  heap_attrinfo_recache_attrepr
   0.256       324  lf_freelist_alloc_block
   0.250       316  cubthread::get_entry
   0.248       313  logpb_write_toflush_pages_to_archive
   0.244       308  or_unpack_mem_value
   0.240       303  logpb_flush_all_append_pages
   0.234       295  msort_with_tmp.part.0
   0.232       293  tbb::detail::d2::internal_try_pop_impl<tbb::detail::d2::concurrent_queue_rep<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> >, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d2::concurrent_queue_rep<cubconn::connection::coordinator::message, tbb::detail::d1::cache_aligned_allocator<cubconn::connection::coordinator::message> > > >
   0.230       290  cuberr::context::push_error_stack
   0.228       288  cubconn::connection::worker::handle_header_packet
   0.228       288  ATOMIC_INC_32<int, int>
   0.226       286  file_get_type
   0.226       285  cubmem::single_block_allocator::single_block_allocator
   0.223       282  mr_index_readval_int
   0.216       273  __tls_get_addr
   0.211       266  std::_Rb_tree<unsigned long, std::pair<unsigned long const, unsigned long>, std::_Select1st<std::pair<unsigned long const, unsigned long> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> > >::_M_emplace_unique<unsigned long&, unsigned long&>
   0.207       262  cub_calloc
   0.205       259  log_tdes::lock_topop
   0.203       257  css_wakeup_handler
   0.199       252  pgbuf_lockfree_fix_ro
   0.198       250  lf_tran_start
   0.197       249  LSA_COPY
   0.196       247  LZ4_writeLE16
